Trying parameters: alpha=2.9478293379772262, area_threshold=606, opening_size=10, closing_size=4
Trying parameters: alpha=3.576457411000189, area_threshold=1068, opening_size=6, closing_size=12
Trying parameters: alpha=3.913417843541024, area_threshold=638, opening_size=12, closing_size=4
Trying parameters: alpha=2.9213934518578837, area_threshold=1416, opening_size=5, closing_size=15
Trying parameters: alpha=3.7663111941912044, area_threshold=1150, opening_size=8, closing_size=11
Trying parameters: alpha=5.648885104702768, area_threshold=991, opening_size=8, closing_size=9
Trying parameters: alpha=9.731986843292391, area_threshold=878, opening_size=15, closing_size=3
Trying parameters: alpha=12.530367193253747, area_threshold=1185, opening_size=4, closing_size=4
Trying parameters: alpha=7.111827424476889, area_threshold=1344, opening_size=5, closing_size=5
Trying parameters: alpha=12.475101479348808, area_threshold=395, opening_size=10, closing_size=13
Trying parameters: alpha=1.2346582053817932, area_threshold=1496, opening_size=3, closing_size=8
Trying parameters: alpha=8.84553393536487, area_threshold=1499, opening_size=6, closing_size=15
Trying parameters: alpha=1.1642218999444518, area_threshold=1131, opening_size=6, closing_size=15
Trying parameters: alpha=5.985217050319108, area_threshold=1274, opening_size=7, closing_size=12
Trying parameters: alpha=4.383305414059511, area_threshold=959, opening_size=3, closing_size=13
Trying parameters: alpha=5.433299219648602, area_threshold=724, opening_size=3, closing_size=14
Trying parameters: alpha=2.501215188025963, area_threshold=239, opening_size=4, closing_size=10
Trying parameters: alpha=10.367062341662958, area_threshold=863, opening_size=3, closing_size=7
Trying parameters: alpha=7.310832141452311, area_threshold=1350, opening_size=5, closing_size=13
Trying parameters: alpha=5.155070416839575, area_threshold=468, opening_size=12, closing_size=14
Trying parameters: alpha=2.0140856731037466, area_threshold=960, opening_size=5, closing_size=11
Trying parameters: alpha=4.480177133083791, area_threshold=677, opening_size=3, closing_size=14
Trying parameters: alpha=4.59998220811983, area_threshold=765, opening_size=4, closing_size=15
Trying parameters: alpha=14.57043915998436, area_threshold=553, opening_size=3, closing_size=13
Trying parameters: alpha=6.73885644002454, area_threshold=230, opening_size=4, closing_size=14
Trying parameters: alpha=4.501651779414567, area_threshold=744, opening_size=7, closing_size=12
Trying parameters: alpha=2.7953865430129325, area_threshold=365, opening_size=5, closing_size=15
Trying parameters: alpha=8.276906809739614, area_threshold=1002, opening_size=3, closing_size=14
Trying parameters: alpha=1.946583429290842, area_threshold=830, opening_size=15, closing_size=11
Trying parameters: alpha=6.2846426899823555, area_threshold=591, opening_size=9, closing_size=13
Trying parameters: alpha=3.0391361284109717, area_threshold=663, opening_size=4, closing_size=6
Trying parameters: alpha=4.572381962324155, area_threshold=763, opening_size=4, closing_size=15
Trying parameters: alpha=4.455108134552688, area_threshold=517, opening_size=5, closing_size=15
Trying parameters: alpha=3.845034756531768, area_threshold=659, opening_size=6, closing_size=14
Trying parameters: alpha=3.7699789336862692, area_threshold=935, opening_size=4, closing_size=12
Trying parameters: alpha=3.3780707023990155, area_threshold=1053, opening_size=7, closing_size=10
Trying parameters: alpha=1.9986908000399626, area_threshold=1214, opening_size=13, closing_size=12
Trying parameters: alpha=3.5117340139692708, area_threshold=911, opening_size=3, closing_size=10
Trying parameters: alpha=3.4045491862591613, area_threshold=911, opening_size=8, closing_size=9
Trying parameters: alpha=2.3799889039234934, area_threshold=1079, opening_size=4, closing_size=10
Trying parameters: alpha=5.208552324790174, area_threshold=926, opening_size=6, closing_size=11
Trying parameters: alpha=3.669440296716415, area_threshold=1018, opening_size=3, closing_size=13
Trying parameters: alpha=3.9214267168351244, area_threshold=827, opening_size=3, closing_size=12
Trying parameters: alpha=3.9952082082815967, area_threshold=1021, opening_size=3, closing_size=12
Trying parameters: alpha=6.462796314099981, area_threshold=1052, opening_size=3, closing_size=9
Trying parameters: alpha=3.960922431770598, area_threshold=836, opening_size=3, closing_size=12
Trying parameters: alpha=5.700755060367367, area_threshold=1005, opening_size=3, closing_size=13
Trying parameters: alpha=2.9653478656698535, area_threshold=1106, opening_size=5, closing_size=10
Trying parameters: alpha=1.4578590584535105, area_threshold=1251, opening_size=4, closing_size=11
Trying parameters: alpha=7.4814950688703306, area_threshold=1172, opening_size=10, closing_size=8
Best trial:
  Value: 0.27447262160836255
  Params: {'alpha': 4.383305414059511, 'area_threshold': 959, 'opening_size': 3, 'closing_size': 13}
