Trying parameters: alpha=3.6555699862626114, area_threshold=1061, aspect_ratio_threshold=2.8945036116076173, use_median=True
Trying parameters: alpha=7.487134236880403, area_threshold=1307, aspect_ratio_threshold=1.8832384954958248, use_median=True
Trying parameters: alpha=5.816928608244727, area_threshold=1331, aspect_ratio_threshold=2.313857620592657, use_median=True
Trying parameters: alpha=5.593554204538426, area_threshold=1060, aspect_ratio_threshold=1.6970031180367477, use_median=False
Trying parameters: alpha=3.6530663710150177, area_threshold=1331, aspect_ratio_threshold=1.7686555793766119, use_median=True
Trying parameters: alpha=3.6754058281930004, area_threshold=1197, aspect_ratio_threshold=1.7239226262988505, use_median=False
Trying parameters: alpha=7.661025209923381, area_threshold=1003, aspect_ratio_threshold=2.7723438481326994, use_median=True
Trying parameters: alpha=5.973106545736453, area_threshold=917, aspect_ratio_threshold=1.1279407578774743, use_median=False
Trying parameters: alpha=6.352594314088974, area_threshold=863, aspect_ratio_threshold=2.9257168033428465, use_median=False
Trying parameters: alpha=6.680324892425313, area_threshold=1072, aspect_ratio_threshold=2.5194369654044735, use_median=False
Trying parameters: alpha=4.58533966658335, area_threshold=1199, aspect_ratio_threshold=2.293967305081743, use_median=True
Trying parameters: alpha=3.2265055021060483, area_threshold=1186, aspect_ratio_threshold=1.359119107183718, use_median=False
Trying parameters: alpha=3.1616125826103154, area_threshold=1168, aspect_ratio_threshold=1.1843118153794745, use_median=True
Trying parameters: alpha=3.033717910564997, area_threshold=1211, aspect_ratio_threshold=1.1298475813139306, use_median=False
Trying parameters: alpha=4.704517004779167, area_threshold=1156, aspect_ratio_threshold=1.4448094460669663, use_median=True
Trying parameters: alpha=4.662756309225263, area_threshold=1248, aspect_ratio_threshold=1.407759159898987, use_median=False
Trying parameters: alpha=3.100826378012663, area_threshold=1388, aspect_ratio_threshold=1.3965618418104884, use_median=False
Trying parameters: alpha=4.16876229009935, area_threshold=1130, aspect_ratio_threshold=1.489563763287229, use_median=True
Trying parameters: alpha=5.019468309777029, area_threshold=985, aspect_ratio_threshold=2.019238646659634, use_median=False
Trying parameters: alpha=4.038276345040828, area_threshold=1262, aspect_ratio_threshold=1.2271967287715955, use_median=True
Trying parameters: alpha=5.223149322562234, area_threshold=1145, aspect_ratio_threshold=1.5588994694586642, use_median=True
Trying parameters: alpha=3.523956254892328, area_threshold=1022, aspect_ratio_threshold=2.2319476761904826, use_median=True
Trying parameters: alpha=3.373667328566836, area_threshold=993, aspect_ratio_threshold=2.211825239316362, use_median=True
Trying parameters: alpha=4.139447699488608, area_threshold=1000, aspect_ratio_threshold=2.2903540891012004, use_median=True
Trying parameters: alpha=3.5068604772223746, area_threshold=918, aspect_ratio_threshold=2.115512964945868, use_median=True
Trying parameters: alpha=3.8915606682983506, area_threshold=820, aspect_ratio_threshold=2.479577468261431, use_median=True
Trying parameters: alpha=4.3391973454729404, area_threshold=889, aspect_ratio_threshold=2.06020466471365, use_median=True
Trying parameters: alpha=3.4461869032168035, area_threshold=927, aspect_ratio_threshold=2.038043891950665, use_median=True
Trying parameters: alpha=3.3485272705224673, area_threshold=935, aspect_ratio_threshold=2.6243540382518993, use_median=True
Trying parameters: alpha=3.778353444608348, area_threshold=819, aspect_ratio_threshold=1.9995785381776727, use_median=True
Trying parameters: alpha=3.0354048224800447, area_threshold=947, aspect_ratio_threshold=1.876043720247087, use_median=True
Trying parameters: alpha=3.5508119895406316, area_threshold=1058, aspect_ratio_threshold=2.162090356839849, use_median=True
Trying parameters: alpha=3.4172493461689806, area_threshold=1102, aspect_ratio_threshold=2.4461386287265587, use_median=True
Trying parameters: alpha=7.186773827098412, area_threshold=873, aspect_ratio_threshold=1.8779831646876313, use_median=True
Trying parameters: alpha=4.279524695728014, area_threshold=954, aspect_ratio_threshold=2.1459031889041413, use_median=True
Trying parameters: alpha=3.84448225556557, area_threshold=1025, aspect_ratio_threshold=1.604598518933062, use_median=True
Trying parameters: alpha=3.588822381384641, area_threshold=908, aspect_ratio_threshold=2.802943743292096, use_median=True
Trying parameters: alpha=7.978589759558643, area_threshold=1036, aspect_ratio_threshold=2.4108341484103666, use_median=True
Trying parameters: alpha=3.372418109664828, area_threshold=1096, aspect_ratio_threshold=2.618144956882613, use_median=True
Trying parameters: alpha=4.4224601604044365, area_threshold=973, aspect_ratio_threshold=1.7805627393556613, use_median=True
Trying parameters: alpha=5.112905525055523, area_threshold=851, aspect_ratio_threshold=1.9591797107529008, use_median=True
Trying parameters: alpha=3.5838391736816777, area_threshold=1013, aspect_ratio_threshold=2.1361059700146483, use_median=True
Trying parameters: alpha=3.677626853434347, area_threshold=1032, aspect_ratio_threshold=2.1057159433367367, use_median=True
Trying parameters: alpha=3.9438095636256123, area_threshold=917, aspect_ratio_threshold=2.377483537246066, use_median=True
Trying parameters: alpha=3.1974743862464665, area_threshold=955, aspect_ratio_threshold=2.2643838475765876, use_median=True
Trying parameters: alpha=3.618963267082066, area_threshold=1104, aspect_ratio_threshold=1.67121847727957, use_median=True
Trying parameters: alpha=5.8974064943731, area_threshold=1091, aspect_ratio_threshold=1.689279285061465, use_median=True
Trying parameters: alpha=3.8258476830575243, area_threshold=1237, aspect_ratio_threshold=1.8021490874829202, use_median=True
Trying parameters: alpha=3.218134816657788, area_threshold=1126, aspect_ratio_threshold=1.6456080161997757, use_median=True
Trying parameters: alpha=6.28625652005719, area_threshold=1064, aspect_ratio_threshold=1.9256763221221094, use_median=True
Best trial:
  Value: 0.4354948517156782
  Params: {'alpha': 3.5068604772223746, 'area_threshold': 918, 'aspect_ratio_threshold': 2.115512964945868, 'use_median': True}
